y= 1.5	n= 0	scale= 1e+09	conc= 2e-32
180.393	97	70	0
180.471	97	70	1
180.471	97	165	0
180.775	97	165	1
180.775	97	126	0
181.044	97	126	1
181.044	97	11	0
181.125	97	11	1
181.125	97	30	0
181.304	97	30	1
181.304	97	62	0
181.793	97	62	1
181.793	97	72	0
181.824	97	72	1
181.824	97	85	0
182.078	97	85	1
182.078	97	143	0
183.274	97	143	1
183.274	97	150	0
183.578	97	150	1
183.578	97	129	0
183.719	97	129	1
183.719	97	64	0
183.738	97	64	1
183.738	97	139	0
183.925	97	139	1
183.925	97	4	0
184.109	97	4	1
184.109	97	79	0
184.447	97	79	1
184.447	97	131	0
184.758	97	131	1
184.758	97	116	0
184.776	97	116	1
184.776	97	147	0
184.991	97	147	1
184.991	97	110	0
185.497	97	110	1
185.497	97	86	0
185.621	97	86	1
185.621	97	55	0
185.727	97	55	1
185.727	97	150	0
185.893	97	150	1
185.893	97	77	0
186.091	97	77	1
186.091	97	66	0
186.385	97	66	1
186.385	97	71	0
186.783	97	71	1
186.783	97	144	0
187.006	97	144	1
187.006	97	152	0
187.201	97	152	1
187.201	97	150	0
187.325	97	150	1
187.325	97	106	0
187.47	97	106	1
187.47	97	90	0
187.954	97	90	1
187.954	97	140	0
188.106	97	140	1
188.106	97	50	0
189.321	97	50	1
189.321	97	53	0
189.375	97	53	1
189.375	97	68	0
189.565	97	68	1
189.565	97	38	0
189.861	97	38	1
189.861	97	149	0
190.591	97	149	1
190.591	97	125	0
191.003	97	125	1
191.003	97	83	0
192.283	97	83	1
192.283	97	76	0
192.383	97	76	1
192.383	97	57	0
192.541	97	57	1
192.541	97	105	0
192.664	97	105	1
192.664	97	161	0
192.749	97	161	1
192.749	97	106	0
193.545	97	106	1
193.545	97	122	0
193.631	97	122	1
193.631	97	121	0
193.639	97	121	1
193.639	97	160	0
194.162	97	160	1
194.162	97	55	0
194.475	97	55	1
194.475	97	89	0
194.718	97	89	1
194.718	97	61	0
195.082	97	61	1
195.082	97	25	0
195.086	97	25	1
195.086	97	28	0
195.112	97	28	1
195.112	97	106	0
195.478	97	106	1
195.478	97	96	0
196.084	97	96	1
196.084	97	158	0
196.401	97	158	1
196.401	97	100	0
196.724	97	100	1
196.724	97	58	0
196.851	97	58	1
196.851	97	19	0
196.894	97	19	1
196.894	97	151	0
197.223	97	151	1
197.223	97	34	0
197.26	97	34	1
197.26	97	93	0
197.734	97	93	1
197.734	97	68	0
197.857	97	68	1
197.857	97	104	0
198.418	97	104	1
198.418	97	69	0
198.947	97	69	1
198.947	97	112	0
199.841	97	112	1
199.841	97	64	0
199.911	97	64	1
199.911	97	71	0
200.065	97	71	1
200.065	97	126	0
200.077	97	126	1
200.077	97	29	0
200.407	97	29	1
200.407	97	48	0
200.437	97	48	1
200.437	97	91	0
200.702	97	91	1
200.702	97	149	0
200.755	97	149	1
200.755	97	121	0
201.003	97	121	1
201.003	97	116	0
201.342	97	116	1
201.342	97	50	0
201.378	97	50	1
201.378	97	121	0
201.872	97	121	1
201.872	97	9	0
202.426	97	9	1
202.426	97	36	0
202.458	97	36	1
202.458	97	111	0
202.821	97	111	1
202.821	97	110	0
202.867	97	110	1
202.867	97	114	0
202.993	97	114	1
202.993	97	32	0
203.01	97	32	1
203.01	97	87	0
203.095	97	87	1
203.095	97	98	0
203.273	97	98	1
203.273	97	107	0
203.832	97	107	1
203.832	97	15	0
203.883	97	15	1
